1.collectionobject.catalogNumber,"1,10.collectingevent.startDateNumericYear","1,10.collectingevent.startDate","1,9-determinations.collectionobject.determinations","1,10,30-collectors.collectingevent.collectors","1,10,30-collectors,5.agent.abbreviation","1,9-determinations,5-determiner.determination.determiner","1,9-determinations.determination.determinedDate","1,10,2.locality.localityName","1,10,2.collectingevent.locality","1,10,2,3.locality.geography","1,111-collectionobjectattachments,41.attachment.attachmentLocation"
681096,1898,07/07/1898,Potentilla × nubilans (current) ; Potentilla rubricaulis; Potentilla subquinata,"Pedersen,  Morten",,"Soják, Jiří",1982,"Groenl. Occident.; Disco, Skansen.","Groenl. Occident.; Disco, Skansen.; Greenland",Greenland,sp68879436369884925558.att.jpg
681096,1898,07/07/1898,Potentilla × nubilans (current) ; Potentilla rubricaulis; Potentilla subquinata,"Pedersen,  Morten",,"Soják, Jiří",1982,"Groenl. Occident.; Disco, Skansen.","Groenl. Occident.; Disco, Skansen.; Greenland",Greenland,sp65553239162003265350.att.jpg
681096,1898,07/07/1898,Potentilla × nubilans (current) ; Potentilla rubricaulis; Potentilla subquinata,"Pedersen,  Morten",,"Böcher,  Tyge",1954,"Groenl. Occident.; Disco, Skansen.","Groenl. Occident.; Disco, Skansen.; Greenland",Greenland,sp68879436369884925558.att.jpg
681096,1898,07/07/1898,Potentilla × nubilans (current) ; Potentilla rubricaulis; Potentilla subquinata,"Pedersen,  Morten",,"Böcher,  Tyge",1954,"Groenl. Occident.; Disco, Skansen.","Groenl. Occident.; Disco, Skansen.; Greenland",Greenland,sp65553239162003265350.att.jpg
681096,1898,07/07/1898,Potentilla × nubilans (current) ; Potentilla rubricaulis; Potentilla subquinata,"Pedersen,  Morten",,"Rydberg, Per",2022,"Groenl. Occident.; Disco, Skansen.","Groenl. Occident.; Disco, Skansen.; Greenland",Greenland,sp68879436369884925558.att.jpg
681096,1898,07/07/1898,Potentilla × nubilans (current) ; Potentilla rubricaulis; Potentilla subquinata,"Pedersen,  Morten",,"Rydberg, Per",2022,"Groenl. Occident.; Disco, Skansen.","Groenl. Occident.; Disco, Skansen.; Greenland",Greenland,sp65553239162003265350.att.jpg
681097,1919,25/06/1919,Potentilla (current) ,Herb. Morten P. Porsild,,,,Kuvnermint.*,Kuvnermint.*; Greenland,Greenland,sp63461177959725685202.att.jpg
681097,1919,25/06/1919,Potentilla (current) ,Herb. Morten P. Porsild,,,,Kuvnermint.*,Kuvnermint.*; Greenland,Greenland,sp62558441543663419378.att.jpg
681108,1905,01/07/1905,Potentilla vahliana (current) ,"Lundager,  Andr.*",,,,Præstefjeld,Præstefjeld; Greenland,Greenland,sp68441783664106512365.att.jpg
681108,1905,01/07/1905,Potentilla vahliana (current) ,"Lundager,  Andr.*",,,,Præstefjeld,Præstefjeld; Greenland,Greenland,sp67156416377500272329.att.jpg
681124,1902,18/07/1902,Potentilla vahliana (current) ,"Porsild,  Morten",,,,"Groenl. Occident; Nûgssuaq peninsula, Ivilik.","Groenl. Occident; Nûgssuaq peninsula, Ivilik.; Greenland",Greenland,sp66569731310689399118.att.jpg
681124,1902,18/07/1902,Potentilla vahliana (current) ,"Porsild,  Morten",,,,"Groenl. Occident; Nûgssuaq peninsula, Ivilik.","Groenl. Occident; Nûgssuaq peninsula, Ivilik.; Greenland",Greenland,sp65650785206415902434.att.jpg
681126,1933,27/06/1933,Potentilla vahliana (current) ,"Porsild,  Morten",,,,"Groenl. Occid. Disko, nær Arktisk Station.","Groenl. Occid. Disko, nær Arktisk Station.; Greenland",Greenland,sp66660465029043965259.att.jpg
681126,1933,27/06/1933,Potentilla vahliana (current) ,"Porsild,  Morten",,,,"Groenl. Occid. Disko, nær Arktisk Station.","Groenl. Occid. Disko, nær Arktisk Station.; Greenland",Greenland,sp68555629592710877442.att.jpg
681127,1933,27/06/1933,Potentilla vahliana (current) ,"Porsild,  Morten",,,,"Groenl. Occid. Disko, nær Arktisk Station.","Groenl. Occid. Disko, nær Arktisk Station.; Greenland",Greenland,sp68041773199772152184.att.jpg
681127,1933,27/06/1933,Potentilla vahliana (current) ,"Porsild,  Morten",,,,"Groenl. Occid. Disko, nær Arktisk Station.","Groenl. Occid. Disko, nær Arktisk Station.; Greenland",Greenland,sp64505101365592349689.att.jpg
681133,1898,24/07/1898,Potentilla vahliana (current) ,"Pedersen,  Morten",,,,"Groenl. Occident.; Disco, Vajgal, Assuk.","Groenl. Occident.; Disco, Vajgal, Assuk.; Greenland",Greenland,sp67253064303735332107.att.jpg
681133,1898,24/07/1898,Potentilla vahliana (current) ,"Pedersen,  Morten",,,,"Groenl. Occident.; Disco, Vajgal, Assuk.","Groenl. Occident.; Disco, Vajgal, Assuk.; Greenland",Greenland,sp61619576296257635695.att.jpg
681140,1911,03/08/1911,Potentilla vahliana (current) ,"Porsild, Morten",,,,"Vest Grönland, Svartenhuk Tartunaq.","Vest Grönland, Svartenhuk Tartunaq.; Greenland",Greenland,sp621108396025472339.att.jpg
681140,1911,03/08/1911,Potentilla vahliana (current) ,"Porsild, Morten",,,,"Vest Grönland, Svartenhuk Tartunaq.","Vest Grönland, Svartenhuk Tartunaq.; Greenland",Greenland,sp62701788318641103654.att.jpg
695453,1892,14/07/1892,Lycopodium complanatum var. pseudo-alpinum (current) ,"Sørensen, P.H.",,,,Godhavn.,Godhavn.; Greenland,Greenland,sp68459716382655001978.att.jpg
695458,1929,15/08/1929,Diphasium complanatum complanatum (current) ,"Porsild, R.T.",,,,"Vest-Grønl. S. Disko, Sinigfik.","Vest-Grønl. S. Disko, Sinigfik.; Greenland",Greenland,sp6900527243749764972.att.jpg
695460,1891,07/1891,Lycopodium complanatum (current) ,"Sørensen, P.H.",,,,Godhavn (på bakker* ovenover* Engelskmandens Havn),Godhavn (på bakker* ovenover* Engelskmandens Havn); Greenland,Greenland,sp63235314716810719507.att.jpg
695461,1929,12/08/1929,Lycopodium complanatum (current) ,"Porsild, R.T.",,,,"Vest-Grønl. S. Disko, Skanseklippen.","Vest-Grønl. S. Disko, Skanseklippen.; Greenland",Greenland,sp65703537796582546996.att.jpg
695462,1932,24/07/1932,Lycopodium complanatum f. pseudo-alpinum (current) ,"Gröntved, Johs.",,,,"Vest-Grønland. Disko: Sinigfik, i Heden N. for Löen.","Vest-Grønland. Disko: Sinigfik, i Heden N. for Löen.; Greenland",Greenland,sp67992848486344419266.att.jpg
695463,1932,29/07/1932,Lycopodium complanatum f. pseudo-alpinum (current) ,"Gröntved, Johs.",,,,"West-Greenland. Disko: S.-Kysten, Kigdlûssat paa sandet Hedeterræn.*","West-Greenland. Disko: S.-Kysten, Kigdlûssat paa sandet Hedeterræn.*; Greenland",Greenland,sp66759883802073290479.att.jpg
695475,1828,07/1828,Lycopodium complanatum f. pseudo-alpinum (current) ,"Vahl, J.",,,,Grönland: Korsoak*. In locis aprices* Korsoak* sinn* Tasermiut*.,Grönland: Korsoak*. In locis aprices* Korsoak* sinn* Tasermiut*.; Greenland,Greenland,sp67201153057024349256.att.jpg
695488,1937,22/08/1937,Lycopodium alpinum (current) ,"Polunin, Nicholas",,,,Julianehaab Distrikt. Igaliko.,Julianehaab Distrikt. Igaliko.; Greenland,Greenland,sp65285270276679973039.att.jpg
695508,1937,22/08/1937,Lycopodium alpinum (current) ,"Polunin, Nicholas",,,,Julianehaab Distrikt. Igaliko.,Julianehaab Distrikt. Igaliko.; Greenland,Greenland,sp66414749055642299458.att.jpg
695529,1932,07/09/1932,Lycopodium alpinum (current) ,"Bøgvad, Rich.",,,,Sydøst-Grønland. Narssaq.,Sydøst-Grønland. Narssaq.; Greenland,Greenland,sp62803640321081205043.att.jpg
695539,1932,12/09/1932,Lycopodium alpinum (current) ,"Bøgvad, Rich.",,,,"Bunden af Lindenows Fjorden, Nordkapten*.","Bunden af Lindenows Fjorden, Nordkapten*.; Greenland",Greenland,sp67196037003770748228.att.jpg
695543,1925,28/08/1925,Lycopodium alpinum (current) ,C. H. O.*,,,,"S. Groenl. orient. Lindenows Fjord, Narsuk.","S. Groenl. orient. Lindenows Fjord, Narsuk.; Greenland",Greenland,sp67328845667353633371.att.jpg
695544,1932,28/07/1932,Lycopodium alpinum (current) ,"Hatt, G.",,,,Groenl. occ. Ergatatasiadakaka*. W. of Tunugdliarfik Kingua.,Groenl. occ. Ergatatasiadakaka*. W. of Tunugdliarfik Kingua.; Greenland,Greenland,sp68183730483828743270.att.jpg
695548,1925,24/07/1925,Lycopodium alpinum f. umbrosum (current) ,"Porsild et al., A.E.",,,,Syd-Grønl. Kangikitsup Qingua.,Syd-Grønl. Kangikitsup Qingua.; Greenland,Greenland,sp66777607369834268921.att.jpg
695561,1895,18/07/1895,Lycopodium alpinum (current) ,"Sørensen, P.H.",,,,Egedmuds* Q.,Egedmuds* Q.; Greenland,Greenland,sp64162501269139182164.att.jpg
695562,1879,10/07/1879,Lycopodium alpinum (current) ,"Kornerup, A.",,,,Nordre Strømfjord.,Nordre Strømfjord.; Greenland,Greenland,sp63270163312370087349.att.jpg
695574,1932,08/07/1932,Lycopodium alpinum (current) ,"Gröntved, Johs.",,,,Vest-Grønland. Nûgssuaq Penins.: Atanìkerdluk.,Vest-Grønland. Nûgssuaq Penins.: Atanìkerdluk.; Greenland,Greenland,sp64155627234969043601.att.jpg
695576,1929,17/07/1929,Lycopodium alpinum (current) ,"Porsild et al., M.P.",,,,"Vest-Grønl. Svartenhuk Halvø, Serfârssuit Bugt.","Vest-Grønl. Svartenhuk Halvø, Serfârssuit Bugt.; Greenland",Greenland,sp63687121750007398493.att.jpg
695596,1902,13/08/1902,Lycopodium alpinum (current) ,"Porsild, Morten",,,,"Groenl. Occident.; Disco, Mellemfjord, Sarkardlek sillordlek. I terteli","Groenl. Occident.; Disco, Mellemfjord, Sarkardlek sillordlek. I terteli; Greenland",Greenland,sp62268300300386767173.att.jpg
695597,1916,08/08/1916,Lycopodium alpinum (current) ,"Porsild, Morten",,,,"Disko, Vestkysten, Nordre Eqaluit.","Disko, Vestkysten, Nordre Eqaluit.; Greenland",Greenland,sp6271731109196478788.att.jpg
695598,1891,07/1891,Lycopodium alpinum (current) ,"Sørensen, P.H.",,,,Godhavn (pua) Bokka ovenared* Engelskmandens Havn.,Godhavn (pua) Bokka ovenared* Engelskmandens Havn.; Greenland,Greenland,sp68295530653482939583.att.jpg
695599,1899,1899,Lycopodium alpinum (current) ,Svendsen,,,,"Godhavn, Lyngmarken.","Godhavn, Lyngmarken.; Greenland",Greenland,sp67680548789057321041.att.jpg
695601,1922,10/09/1922,Lycopodium alpinum (current) ,"Porsild, A.",,,,"Groenl. Occid. Disko, Godhavn.","Groenl. Occid. Disko, Godhavn.; Greenland",Greenland,sp63245302524881367453.att.jpg
695602,1932,24/07/1932,Lycopodium alpinum (current) ,"Gröntved, Johs.",,,,"West-Greenland. Disko: S.- Kysten: Sinigfik, Dal ca. 2 km. N. for Söen.","West-Greenland. Disko: S.- Kysten: Sinigfik, Dal ca. 2 km. N. for Söen.; Greenland",Greenland,sp63531472900636821892.att.jpg
695603,1932,25/07/1932,Lycopodium alpinum (current) ,"Gröntved, Johs.",,,,Vest-Grønland. Disko: at Sinigfik. on heaths in the hills.,Vest-Grønland. Disko: at Sinigfik. on heaths in the hills.; Greenland,Greenland,sp63553118267395667334.att.jpg
695605,1932,23/07/1932,Lycopodium alpinum (current) ,"Gröntved, Johs.",,,,West-Greenland. Disko: South coast at Sinigfik on the river banks in heath vegetation.,West-Greenland. Disko: South coast at Sinigfik on the river banks in heath vegetation.; Greenland,Greenland,sp68559311814655963751.att.jpg
695614,1931,06/08/1931,Oxyria digyna (current) ,"Bartlett, Robert",,,,South side Clavering Island.,South side Clavering Island.; Greenland,Greenland,sp63743482359437700985.att.jpg
695617,1929,28/07/1929,Oxyria digyna (current) ,"Vaage, Jakob",,,,East-Greenland. Wollaston Foreland: Landingsdalen.,East-Greenland. Wollaston Foreland: Landingsdalen.; Greenland,Greenland,sp65192936870108920174.att.jpg
695619,1932,07/07/1932,Oxyria digyna (current) ,"Gelting, Paul",,,,"Christian den X's land. Northeast Greenland. Clavering Isl., Eigil Elv.","Christian den X's land. Northeast Greenland. Clavering Isl., Eigil Elv.; Greenland",Greenland,sp63992513436675700046.att.jpg
695621,1931,23/08/1931,Oxyria digyna (current) ,"Gelting, Paul",,,,"Eskimo Bay, Clavering Isl.","Eskimo Bay, Clavering Isl.; Greenland",Greenland,sp63478216483263652481.att.jpg
695622,1932,08/1932,Oxyria digyna (current) ,"Koie, M.",,,,Fjáld ved Kap Stosch.,Fjáld ved Kap Stosch.; Greenland,Greenland,sp62126351925082122716.att.jpg
697757,1828,06/1828,Woodsia ilvensis (current) ,"Vahl, J.",,,,In fissuris rupium Julianehaab. E Groenlandia.,In fissuris rupium Julianehaab. E Groenlandia.; Greenland,Greenland,sp6945259474223599660.att.jpg
697759,1830,07/1830,Woodsia ilvensis (current) ,Prikket,,,,In fissuris rupium et locis saxosis Kuksuk* sinus Baals Revier.,In fissuris rupium et locis saxosis Kuksuk* sinus Baals Revier.; Greenland,Greenland,sp63697452062873238107.att.jpg
697761,1831,07/1831,Woodsia ilvensis (current) ,Prikket,,,,In locis apricis lapidosis ad latera alpium Eqaluit sinus Amaralik.,In locis apricis lapidosis ad latera alpium Eqaluit sinus Amaralik.; Greenland,Greenland,sp68472239962562334873.att.jpg
697763,1828,09/1828,Woodsia ilvensis (current) ,"Vahl, J.",,,,E Groenlandia. In fissuris montium Tunnudacorbik*.,E Groenlandia. In fissuris montium Tunnudacorbik*.; Greenland,Greenland,sp66667896361506178509.att.jpg
697764,1829,07/1829,Woodsia ilvensis (current) ,Prikket,,,,In rupibus Ujarasurksoit.,In rupibus Ujarasurksoit.; Greenland,Greenland,sp64006084208361312861.att.jpg
697765,1829,08/1829,Woodsia ilvensis (current) ,Collector unknown,,,,In locis apricis sinus Tessarmiut.,In locis apricis sinus Tessarmiut.; Greenland,Greenland,sp68411049076967426844.att.jpg
697766,1828,07/1828,Woodsia ilvensis (current) ,Prikket,,,,In fissuris rupium Korsvak sinus Tessarmiut.,In fissuris rupium Korsvak sinus Tessarmiut.; Greenland,Greenland,sp61916903575724344611.att.jpg
697767,1828,07/1828,Woodsia ilvensis (current) ,Prikket,,,,Inter saxa in montibus Kakortok.,Inter saxa in montibus Kakortok.; Greenland,Greenland,sp64822372256165538021.att.jpg
697768,1835,09/1835,Woodsia ilvensis (current) ,Collector unknown,,,,In locis saxosis tum ad pedes tum ad latera alpium distr. Colon. Christianshaab.,In locis saxosis tum ad pedes tum ad latera alpium distr. Colon. Christianshaab.; Greenland,Greenland,sp67596856782385403668.att.jpg
697769,1835,07/1835,Woodsia ilvensis (current) ,Collector unknown,,,,In locis glareosis irrigatis ad latera inferiora alpium insulae Arveprinsens Eiland. distr. Colon. Rittenb.,In locis glareosis irrigatis ad latera inferiora alpium insulae Arveprinsens Eiland. distr. Colon. Rittenb.; Greenland,Greenland,sp61356402286349439599.att.jpg
697770,1837,07/1837,Woodsia ilvensis (current) ,Collector unknown,,,,In locis saxosis et rupium fissuris tamad latera ium ad pedes alpium distr. Colon. Umanak.,In locis saxosis et rupium fissuris tamad latera ium ad pedes alpium distr. Colon. Umanak.; Greenland,Greenland,sp64528935665754481956.att.jpg
697771,1834,08/1834,Woodsia ilvensis (current) ,"Vahl, J.",,,,Upernavik.,Upernavik.; Greenland,Greenland,sp6278879491815970768.att.jpg
697772,1835,09/1835,Woodsia glabella (current) ,Collector unknown,,,,"In locis saxosis tum adpedes tum ad latera alpium. Sydost Bugten, distr. Colon. Christn.","In locis saxosis tum adpedes tum ad latera alpium. Sydost Bugten, distr. Colon. Christn.; Greenland",Greenland,sp62908799488340806916.att.jpg
697773,1833,08/1833,Woodsia ilvensis (current) ,"Vahl, J.",,,,"In sissuris superim et in locis duris saxosis tum del pedes tum ad latera alpium sinus Pakitsok, distr. Jakobshavn. E Groenlandia","In sissuris superim et in locis duris saxosis tum del pedes tum ad latera alpium sinus Pakitsok, distr. Jakobshavn. E Groenlandia; Greenland",Greenland,sp65218371267403481458.att.jpg
697774,1829,06/1829,Woodsia ilvensis (current) ,"Vahl, J.",,,,In sissuris rupium sinus Kangerdluluk. E Groenlandia.,In sissuris rupium sinus Kangerdluluk. E Groenlandia.; Greenland,Greenland,sp61284652702869723821.att.jpg
697800,1935,29/07/1935,Woodsia ilvensis (current) ,"Porsild, M.P.",,,,Vest-Grønl. Qeqertat.,Vest-Grønl. Qeqertat.; Greenland,Greenland,sp68006033266159268644.att.jpg
697832,1892,07/1892,Woodsia ilvensis (current) ,"Sørensen, P.H.",,,,Jakobshavn.,Jakobshavn.; Greenland,Greenland,sp643096768781984620.att.jpg
697840,1935,31/07/1935,Woodsia ilvensis (current) ,"Porsild, M.P.",,,,"Vest-Grønl. Umànaq Storø, Paornat.","Vest-Grønl. Umànaq Storø, Paornat.; Greenland",Greenland,sp67518031131599014756.att.jpg
697844,1900,1900,Woodsia ilvensis (current) ,Svendsen,,,,"Godhavn, Lyngmarken.","Godhavn, Lyngmarken.; Greenland",Greenland,sp68800165511565407664.att.jpg
697845,1901,18/07/1901,Woodsia ilvensis (current) ,Herb. Svendsen,,,,Ritenbenk.,Ritenbenk.; Greenland,Greenland,sp67732732210007189131.att.jpg
697846,1900,1900,Woodsia ilvensis (current) ,Herb. Svendsen,,,,"Godhavn, Lyngmarken.","Godhavn, Lyngmarken.; Greenland",Greenland,sp6229677662635700843.att.jpg
697847,1918,20/07/1918,Woodsia ilvensis (current) ,"Porsild, Thorbjørn",,,,Eke ved Indlandsisen.,Eke ved Indlandsisen.; Greenland,Greenland,sp65037746078443101026.att.jpg
697848,1937,08/08/1937,Woodsia ilvensis (current) ,"Porsild, A.",,,,South Coast of Disko Island near Godhavn. Herb mats near the warm springs in Engelskmandens Havn.,South Coast of Disko Island near Godhavn. Herb mats near the warm springs in Engelskmandens Havn.; Greenland,Greenland,sp65202641628662229985.att.jpg
697851,1902,18/08/1902,Woodsia ilvensis (current) ,"Porsild, Morten",,,,"Groenl. Occident.; Disco, Diskofjordens Nordkyst Nakerdluk. I Klipperspalter.","Groenl. Occident.; Disco, Diskofjordens Nordkyst Nakerdluk. I Klipperspalter.; Greenland",Greenland,sp65220026481857536293.att.jpg
697856,1935,31/07/1935,Woodsia ilvensis (current) ,"Porsild, M.P.",,,,"Vest-Grønl. Umànaq Storø, Paornat.","Vest-Grønl. Umànaq Storø, Paornat.; Greenland",Greenland,sp66338133445610792008.att.jpg
697858,1909,07/1909,Woodsia ilvensis (current) ,"Nygaard, J.",,,,"Disko, Blæsedalen v. Bræ No 2.","Disko, Blæsedalen v. Bræ No 2.; Greenland",Greenland,sp65964089820815977279.att.jpg
697869,1921,23/07/1921,Woodsia ilvensis (current) ,"Porsild, A.",,,,Groenl. Occid. Upernavik Ø.,Groenl. Occid. Upernavik Ø.; Greenland,Greenland,sp68708237767015174500.att.jpg
697878,1939,08/06/1939,Juniperus communis var. montana (current) ,"Rosenkrantz, A.",,,,Julianehaab.,Julianehaab.; Greenland,Greenland,sp67211972774201196288.att.jpg
697895,1900,08/07/1900,Juniperus communis var. nana (current) ,"Meldorf, Gustav",,,,Julianehaab (ved Ferskvandssdens* NØ-ligt Bred).,Julianehaab (ved Ferskvandssdens* NØ-ligt Bred).; Greenland,Greenland,sp61660976468166217681.att.jpg
697896,1885,22/05/1885,Juniperus alpina (current) ,"Eberlin, P.",,,,Ø. Grónl. Kangerdlup-Pava.,Ø. Grónl. Kangerdlup-Pava.; Greenland,Greenland,sp68946144826750721513.att.jpg
697897,1925,28/08/1925,Juniperus communis var. alpina (current) ,"Christensen, K.",,,,"S. Groenl. Orient. Lindenows Fjord, Narsúk.","S. Groenl. Orient. Lindenows Fjord, Narsúk.; Greenland",Greenland,sp62784430812104012683.att.jpg
697968,1924,16/08/1924,Woodsia glabella (current) ,"Hagerup, O.",,,,Groenl. orient. Scoresby Sund Kolonien.,Groenl. orient. Scoresby Sund Kolonien.; Greenland,Greenland,sp68960971615983146879.att.jpg
697969,1934,30/07/1934,Woodsia glabella (current) ,"Seidenfaden, G.",,,,East Greenland. Scoresby Land: S. of Jameson River.,East Greenland. Scoresby Land: S. of Jameson River.; Greenland,Greenland,sp64949600603154620014.att.jpg
697987,1933,10/07/1933,Woodsia glabella (current) ,"Gelting, Paul",,,,Christian den X's land. Northeast Greenland. Liverpool Land: Kalkdal.,Christian den X's land. Northeast Greenland. Liverpool Land: Kalkdal.; Greenland,Greenland,sp67795270137612991303.att.jpg
697995,1933,08/07/1933,Woodsia glabella (current) ,"Gelting, Paul",,,,Christian den X's land. Northeast Greenland. Hurry Fjord: Ulveodde.,Christian den X's land. Northeast Greenland. Hurry Fjord: Ulveodde.; Greenland,Greenland,sp65722954320233755304.att.jpg
698038,1832,08/1832,Woodsia glabella (current) ,"Vahl, J.",,,,"In locis saxosis ad latera inferiora* alpium, Itivnek sinus Ikatoq*.","In locis saxosis ad latera inferiora* alpium, Itivnek sinus Ikatoq*.; Greenland",Greenland,sp62093106041927470368.att.jpg
698039,1835,09/1835,Woodsia glabella (current) ,"Vahl, J.",,,,Christiaanshaab. In locis humidiusculis per latera inferiora alpium distr. Colon.,Christiaanshaab. In locis humidiusculis per latera inferiora alpium distr. Colon.; Greenland,Greenland,sp64471724843170480603.att.jpg
698040,1834,07/1834,Woodsia glabella (current) ,"Vahl, J.",,,,In locis irrigatis ad latera inferiora alpium insular Umanatsiak. Distr. Colon.*,In locis irrigatis ad latera inferiora alpium insular Umanatsiak. Distr. Colon.*; Greenland,Greenland,sp6714794220540702659.att.jpg
698041,1832,08/1832,Cystopteris fragilis (current) ,"Vahl, J.",,,,In locis glareosis ad latera superiora alpium sinus Isortok. fl. Holbst*.,In locis glareosis ad latera superiora alpium sinus Isortok. fl. Holbst*.; Greenland,Greenland,sp64744454429488863064.att.jpg
698124,1937,12/07/1937,Woodsia ilvensis (current) ,"Polunin, Nicholas",,,,Julianehaab Distrikt. Sydproven.,Julianehaab Distrikt. Sydproven.; Greenland,Greenland,sp63610870898995511366.att.jpg
698125,1937,22/08/1937,Woodsia ilvensis (current) ,"Polunin, Nicholas",,,,Julianehaab Distrikt. Igaliko.,Julianehaab Distrikt. Igaliko.; Greenland,Greenland,sp62268255897640811092.att.jpg
698172,1931,16/08/1931,Woodsia ilvensis (current) ,"Porsild, Morten",,,,"Groenl. Occid. Ameralik Fjord, Eqaluit i Ameragdla.","Groenl. Occid. Ameralik Fjord, Eqaluit i Ameragdla.; Greenland",Greenland,sp62373340092530193444.att.jpg
698210,1900,08/07/1900,Woodsia ilvensis (current) ,"Meldorf, Gustav",,,,Julianehaab (Fjældkloft ved Ferskvandsvens NØ- lige Bud).*,Julianehaab (Fjældkloft ved Ferskvandsvens NØ- lige Bud).*; Greenland,Greenland,sp68962027695311713788.att.jpg
698211,1888,20/07/1888,Woodsia ilvensis (current) ,"Rosenvinge, L.",,,,Skyggefeld* Klippespalte Tunnuarmiut i Tunugdliarfik.,Skyggefeld* Klippespalte Tunnuarmiut i Tunugdliarfik.; Greenland,Greenland,sp68578400211499274687.att.jpg
698213,1900,17/08/1900,Woodsia ilvensis (current) ,"Meldorf, Gustav",,,,"Bopladsen Vingdlerunak* ved Narssaq, Julianehaabs Distrikt.","Bopladsen Vingdlerunak* ved Narssaq, Julianehaabs Distrikt.; Greenland",Greenland,sp68821306895939458522.att.jpg
698214,1889,06/09/1889,Woodsia ilvensis (current) ,"Hartz, N.",,,,Groenl. austr.: Tasermiutsiak i Tasermiut.,Groenl. austr.: Tasermiutsiak i Tasermiut.; Greenland,Greenland,sp62087659751912874730.att.jpg
698216,1881,20/07/1881,Woodsia ilvensis (current) ,Sylow,,,,Nunatak N. for Prins Christians Sund (Øst Gronland).,Nunatak N. for Prins Christians Sund (Øst Gronland).; Greenland,Greenland,sp6164952068485253376.att.jpg
698217,1889,1889,Woodsia ilvensis (current) ,"Lundholm, Dna",,,,Ilua.,Ilua.; Greenland,Greenland,sp61701789105006726698.att.jpg
698222,1932,28/07/1932,Woodsia ilvensis (current) ,"Hatt, G.",,,,Groenl. occ. Ergatatasiadakaka W. of Tunugdliarfik Kingua.,Groenl. occ. Ergatatasiadakaka W. of Tunugdliarfik Kingua.; Greenland,Greenland,sp6288777559345453223.att.jpg
698227,1931,1931,Woodsia ilvensis (current) ,"Rasmussen, Knud",,,,Sydøst-Grønland. Tiningnertôq.,Sydøst-Grønland. Tiningnertôq.; Greenland,Greenland,sp61797651306502199195.att.jpg
698244,1925,21/07/1925,Woodsia ilvensis (current) ,"Porsild et al., A.E.",,,,Syd-Grønl. Nunatsuk.,Syd-Grønl. Nunatsuk.; Greenland,Greenland,sp6765052169057912992.att.jpg
698262,1843,1843,Woodsia ilvensis (current) ,Holboll,,,,Fiskesnæsfet.,Fiskesnæsfet.; Greenland,Greenland,sp68845591430993470667.att.jpg
698301,1937,17/08/1937,Woodsia glabella (current) ,"Troes-Smits*, J.",,,,Kajirilik.*  Skyggefuld* Fjeld klóft. 350 m. O.H.,Kajirilik.*  Skyggefuld* Fjeld klóft. 350 m. O.H.; Greenland,Greenland,sp66400340457511410814.att.jpg
698360,1929,11/07/1929,Woodsia glabella (current) ,"Porsild et al., M.P.",,,,"Vest-Grønl. Anât, Itivdliarssuk Fjord.","Vest-Grønl. Anât, Itivdliarssuk Fjord.; Greenland",Greenland,sp67506715439511804372.att.jpg
698384,1913,20/07/1913,Woodsia glabella (current) ,Th.P.,,,,Eke.,Eke.; Greenland,Greenland,sp68673107242197281599.att.jpg
698386,1888,07/08/1888,Woodsia glabella (current) ,"Hansen, S.",,,,Kingarsuak.,Kingarsuak.; Greenland,Greenland,sp67314087328958794230.att.jpg
698407,1935,28/07/1935,Woodsia glabella (current) ,"Porsild, M.P.",,,,"Vest-Grønl. Ingnerit Fjord, Magdlak.","Vest-Grønl. Ingnerit Fjord, Magdlak.; Greenland",Greenland,sp61966223329543915909.att.jpg
698423,1916,16/07/1916,Woodsia glabella (current) ,"Koch, Lange",,,,N.W. Greenl.; Wolstenholme Sound: Akinarsuk. Sydskraaning. Thule.,N.W. Greenl.; Wolstenholme Sound: Akinarsuk. Sydskraaning. Thule.; Greenland,Greenland,sp65239623930653801198.att.jpg
698440,1912,20/06/1912,Woodsia glabella (current) ,"Freuchen, P.",,,,"Groenl. Bor. , Bunden af Independence Bay, Kap Schundek*.","Groenl. Bor. , Bunden af Independence Bay, Kap Schundek*.; Greenland",Greenland,sp65946171014144812000.att.jpg
698460,1834,06/1834,Aspidium lonchitis (current) ,Collector unknown,,,,"In locis irrigatis ad pedes alpium, insulae* Disco.","In locis irrigatis ad pedes alpium, insulae* Disco.; Greenland",Greenland,sp69177573322740671375.att.jpg
698461,1830,08/1830,Aspidium alpina (current) ,"Vahl, J.",,,,E. Groenlandia. In locis subhumidis suboccution bus subalpium sinus Ameralik.,E. Groenlandia. In locis subhumidis suboccution bus subalpium sinus Ameralik.; Greenland,Greenland,sp63923874551501287010.att.jpg
698462,1828,08/1828,Aspidium lonchitis (current) ,"Prikket, J.",,,,In inferalpibus Korfvak* sinus Tesfarmiut.,In inferalpibus Korfvak* sinus Tesfarmiut.; Greenland,Greenland,sp66934114511778107629.att.jpg
698463,1829,07/1829,Aspidium lonchitis (current) ,"Prikket, J.",,,,In locis subumbrofis Anarite (plior).,In locis subumbrofis Anarite (plior).; Greenland,Greenland,sp69121040990277978399.att.jpg
698464,1828,07/1828,Aspidium lonchitis (current) ,Prikket,,,,In inferalpibus Frederikshab.,In inferalpibus Frederikshab.; Greenland,Greenland,sp64500518643739267545.att.jpg
